figurative_type,uuid,phrase,category
idiom,60830125137134040025035251819017314414873446882540144996253387006734537295788,count sheep,Partial Literal
idiom,97958966607657214289675879555205497293869424110045178366719820207205358934876,in the wink of an eye,None
idiom,30612448510099545186920206505684138100671518879627306251145130106426260860298,on edge,Figurative+Literal
simile,19852882682642364260929910788769282087956009985421488744674249106316575248858,as hot as lava,Figurative
simile,44293091978642933888403282952517607521352127745121914161192118368533482399433,as slippery as an ice rink,Partial Literal
idiom,71345595379501346166417250306572770618763418515016690119529958380229923344908,take to the hills,Figurative
idiom,43718088979960810262170485698595556500833230150836240681391309856961703463579,light at the end of the tunnel,Literal
idiom,87727107533803511014055637488793951670784632393410698652092143067009367756312,hate someone's guts,None
simile,21862033192573412805743190939201770145109320005314490429378240488376135252175,as sharp as an arrow,Partial Literal
idiom,78366288907855027703319567666669517010038734522030445689045316179693272095788,blaze a trail,Figurative+Literal
simile,80461195500347227837787875319749627458209975098013169158901355427623310403331,as filthy as a pigsty,Partial Literal
metaphor,25394296240884100426099893692568782049020698444265951139591526500720435234617,an angel,Figurative
simile,63480103751870335643098220168723425661413428050990589704746615600026895312676,as helpless as a baby,Partial Literal
simile,7629332484580971367644867306726850555983535019888513174672313134514898375333,as busy as a bee,Figurative
idiom,112935464592394785620377213944591462420208991580082061618378201810871646668592,jump on the bandwagon,Partial Literal
idiom,91373570027713394095504423302036261760346130803186567014879028701250019005492,sick as a parrot,Figurative+Literal
idiom,95279579548212667364122738405673056240518276486953836973493116770994853481704,twist someone's arm,Figurative
simile,91470348793293022441708637141526970452259958778318020025056710119017349613090,as deep as the ocean,Partial Literal
simile,87756109254205539704407311192403986828564480420701357203503321609178029598898,as wide as the sea,Partial Literal
idiom,73380823631042142447690953291638260657845377491002069070733133972544371950115,ruffle someone's feathers,Partial Literal
idiom,12411463148745925522446117453458721780971037476047829203392999876965609450770,broad in the beam,None
metaphor,57975988387788136191429936323289030486011279820530534576183149228360165101908,he is a fox,Figurative
idiom,51219306415552617350209998360119771986015660134823855631288467790633567892254,be my guest,No Category
idiom,99987073386037630257806490760603816056522640937989790034838410951461739950055,make a virtue of necessity,None
idiom,54428872188265531315048234975274524286781331588816257717436480053333699433762,ride herd on,Literal
idiom,45122457068755313323317286754042557617137848998015962189964220763273559255812,go overboard,Partial Literal
simile,112779500399848365962335750370144955419711449576997723128967892989771303949537,as helpless as a baby,Partial Literal
idiom,75726922469839058123775249065149123045106772634048883805973538191579346394892,jack of all trades,Figurative
idiom,59462635335378968562458565398200637460331618463202061213273821584373766916191,hit someone for six,None
idiom,96107852002896812025959253447976290858885856946407278764219792589059764302447,one of those things,Figurative
simile,13463732470558759865851162218299585744380806565465454373515592830887914822905,as white as a ghost,Figurative
simile,13075102676274375330269753099753019170799332231505645271213326727806754770579,as big as a mountain,Figurative
metaphor,75779280907194055411500666616969162326989873617618322936973350291529999439729,sea of bees,Figurative
idiom,39477026123790644918157424067889536560690516227096477258070523031885163002419,give someone the eye,Figurative+Literal
idiom,44755152321217896578156920192965916841198729461685988518430375335549454193626,take the fall,None
metaphor,3408264338758151165475123943325623711820452335611003484041443211332355828567,home was prison,Partial Literal
simile,17196760427332064909565016476736442906929527066154272704859801382414746994842,as helpless as a baby,Partial Literal
idiom,33152599042160722526803901574400064309251902056987846101403728036848550491616,put down roots,None
idiom,33090797692963202666571356142934637188387989995822988093032179070422922478205,think twice,Figurative
simile,93927885309373082384189132964382494412946883017356487931728467060961964843384,as hard as rocks,Partial Literal
idiom,84571797547548505475327020198298669566954707403950484940356263634234554145409,to boot,Partial Literal
idiom,73698333181023243460626172696953398668991842566328848102001828981522792111988,set the wheels in motion,None
metaphor,54483654329799434832501649239053419077712117757324152515967788649362154046414,walking encyclopedia,Partial Literal
metaphor,31422966556746764684076302192209136530841611701249012442998629288409859225794,an angel,None
metaphor,79199019218227035841895044643886961610840875798784679202028950913543953823248,walking encyclopedia,Partial Literal
simile,70672424723750890214424269969152902923189522719518372675256660940206136581835,as sweet as sugar,Partial Literal
simile,112594641370618795298293174642252560227891627865006195377850241187257830706228,as dry as a desert,Partial Literal
metaphor,48579655843436811964321915243844262226590087995990308675295762620091436765332,sea of bees,Partial Literal
simile,34297234751244691029388158188676424711663782069960318936629433309584554110573,as hot as lava,Partial Literal
idiom,88611317686405988851736779194280315117626039233482294307891137726296225128283,out and about,None
metaphor,31291038635251533348379978784695996318661598970948233748083977076190457574014,heart sank,Figurative
simile,10754549839057394025877135254829722768460830732470169675796315920484986306749,as tall as a mountain,Partial Literal
idiom,4098816129877551572789042721039074683552456656588539512854404851089271081554,off the wall,Figurative
idiom,28085436706879538563308418012613722604001077240305426451310733730072282642749,at sixes and sevens,None
simile,111111834064976006738580868916286066780960910426507712996180192735452514255404,as helpless as a baby,Partial Literal
idiom,28424994348177893592848459131257740475438478911623533031821632670124755433114,on the skids,Figurative
simile,51741667343024028674648644620878700822290630358934038762421420942215850265495,as sharp as an arrow,Partial Literal
idiom,104774433838628541767324537462966418396579881451598193497048542074592963302439,fight tooth and nail,None
idiom,14603081682564253545280592435208765250193866572526269659734001304020197346350,out of the box,Figurative+Literal
simile,56573484539231364569249872200349510489311796792930341150488783298572382226974,as helpless as a baby,Partial Literal
simile,104908238485051822751113987930105856987507998683395014976347948168473151724013,as fresh as a daisy,Figurative
simile,25760789231459404899686322649010289918307909327089644166434428725460945479036,as filthy as a pigsty,Figurative
simile,54840200911825112098684519591688084068860169460363882400384956265961902738470,as bright as the sun,Partial Literal
simile,51413156047783829247342530704510071761077982909120409374735887186121672892934,as busy as a bee,Partial Literal
idiom,66302512329138224626180062122808694365081453204396120605893201367412315480030,make ends meet,Figurative+Literal
metaphor,64816797395868486148002393273183976907213366718894550865063775391269354883130,blanket of snow,Partial Literal
idiom,85759963533849621723529941547316500980437651286678530364254628880161021481105,on and off,Literal
idiom,54018035861948056612218671328352543122829449661739764717271006716181494394846,cut loose,None
idiom,95398333611737149997525764733713978208552227387849047510173583885383149325635,no holds barred,None
